Symbol
3MINDIA
ABB
POWERINDIA
ACC
AIAENG
APLAPOLLO
AUBANK
AARTIDRUGS
AARTIIND
AAVAS
ABBOTINDIA
ADANIENT
ADANIGREEN
ADANIPORTS
ATGL
ADANITRANS
ABCAPITAL
ABFRL
ADVENZYMES
AEGISCHEM
AFFLE
AJANTPHARM
AKZOINDIA
ALEMBICLTD
APLLTD
ALKEM
ALKYLAMINE
ALOKINDS
AMARAJABAT
AMBER
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASHOKA
ASIANPAINT
ASTERDM
ASTRAZEN
ASTRAL
ATUL
AUROPHARMA
AVANTIFEED
DMART
AXISBANK
BASF
BEML
BSE
BAJAJ-AUTO
BAJAJCON
BAJAJELEC
BAJFINANCE
BAJAJFINSV
BAJAJHLDNG
BALKRISIND
BALMLAWRIE
BALRAMCHIN
BANDHANBNK
BANKBARODA
BANKINDIA
MAHABANK
BATAINDIA
BAYERCROP
BERGEPAINT
BDL
BEL
BHARATFORG
BHEL
BPCL
BHARATRAS
BHARTIARTL
BIOCON
BIRLACORPN
BSOFT
BLISSGVS
BLUEDART
BLUESTARCO
BBTC
BOMDYEING
BOSCHLTD
BRIGADE
BRITANNIA
CARERATING
CCL
CESC
CRISIL
CSBBANK
CADILAHC
CANFINHOME
CANBK
CAPLIPOINT
CGCL
CARBORUNIV
CASTROLIND
CEATLTD
CENTRALBK
CDSL
CENTURYPLY
CENTURYTEX
CERA
CHALET
CHAMBLFERT
CHENNPETRO
CHOLAHLDNG
CHOLAFIN
CIPLA
CUB
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
CREDITACC
CROMPTON
CUMMINSIND
CYIENT
DBCORP
DCBBANK
DCMSHRIRAM
DLF
DABUR
DALBHARAT
DEEPAKNTR
DELTACORP
DHANI
DHANUKA
DBL
DISHTV
DCAL
DIVISLAB
DIXON
LALPATHLAB
DRREDDY
EIDPARRY
EIHOTEL
EPL
ESABINDIA
EDELWEISS
EICHERMOT
ELGIEQUIP
EMAMILTD
ENDURANCE
ENGINERSIN
EQUITAS
ERIS
ESCORTS
EXIDEIND
FDC
FEDERALBNK
FINEORG
FINCABLES
FINPIPE
FSL
FORTIS
FCONSUMER
FRETAIL
GAIL
GEPIL
GHCL
GMMPFAUDLR
GMRINFRA
GALAXYSURF
GRSE
GARFIBRES
GICRE
GILLETTE
GLAXO
GLENMARK
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GODREJPROP
GRANULES
GRAPHITE
GRASIM
GESHIP
GREAVESCOT
GRINDWELL
GUJALKALI
GAEL
FLUOROCHEM
GUJGASLTD
GMDCLTD
GNFC
GPPL
GSFC
GSPL
GULFOILLUB
HEG
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HFCL
HATHWAY
HATSUN
HAVELLS
HEIDELBERG
HERITGFOOD
HEROMOTOCO
HSCL
HINDALCO
HAL
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HONAUT
HUDCO
HDFC
HUHTAMAKI
ICICIBANK
ICICIGI
ICICIPRULI
ISEC
ICRA
IDBI
IDFCFIRSTB
IDFC
IFBIND
IIFL
IIFLWAM
IOLCP
IRB
IRCON
ITC
ITI
INDIACEM
IBULHSGFIN
IBREALEST
INDIAMART
INDIANB
IEX
INDHOTEL
IOC
IOB
IRCTC
INDOCO
IGL
INDUSTOWER
INDUSINDBK
NAUKRI
INFY
INGERRAND
INOXLEISUR
INDIGO
IPCALAB
JBCHEPHARM
JKCEMENT
JKLAKSHMI
JKPAPER
JKTYRE
JMFINANCIL
JSWENERGY
JSWSTEEL
JTEKTINDIA
JAGRAN
JAICORPLTD
J&KBANK
JAMNAAUTO
JINDALSAW
JSLHISAR
JSL
JINDALSTEL
JCHAC
JUBLFOOD
JUSTDIAL
